personId,source,sourceID
741,Semiconductors,597
742,Pharmaceuticals,517
743,Aviation,44
744,Cement,101
744,Diversified,187
745,Online media,475
746,Investments,360
747,Private equity,549
748,Airline,14
749,Poultry processing,536
750,Book distribution,77
750,Transportation,712
751,Electric vehicles,205
752,Real estate,560
753,Real estate,560
754,Oil & gas,463
755,Mobile phone retailer,430
756,Healthcare,304
757,Finance,243
758,Aircraft leasing,13
759,Packaging materials,490
760,Packaging materials,490
761,Fintech,250
762,Insurance,349
763,Real estate,560
764,Real estate,560
765,Imaging systems,338
766,Logistics,386
767,Hotels,327
767,Motels,434
768,Advertising,6
769,IT provider,337
770,Real estate,560
771,Fintech,250
772,Retail,573
773,Motors,437
774,Hedge funds,312
775,Retail,573
776,Hotels,327
776,Investments,360
777,Software,619
778,Starbucks,656
779,Best Buy,63
780,Real estate,560
781,Electrical equipment,207
782,Diversified,187
783,Diversified,187
784,Venture capital,729
785,Private equity,549
786,Auto parts,37
786,Distribution,186
787,Beer,60
788,Hotels,327
789,Banking,49
790,Casinos,99
791,Hedge funds,312
792,Car dealerships,92
793,Investments,360
794,Fintech,250
795,Venture capital,729
796,Real estate,560
797,Real estate,560
798,Hedge funds,312
799,Diversified,187
800,Shoes,604
801,Software,619
802,Software,619
803,Software,619
804,Hotels,327
804,Investments,360
805,Supermarkets,669
806,Real estate,560
807,Fashion investments,231
808,Shipping,603
809,Liquor,378
810,Automobiles,39
810,Batteries,54
811,Smartphone components,610
812,Electric bikes,202
812,Scooters,585
813,Eyeglasses,227
814,Generic drugs,281
815,Investments,360
816,Microchip testing,422
817,Private equity,549
818,Eyeglasses,227
819,Eyeglases,226
820,Eyeglasses,227
821,Eyeglasses,227
822,Eyeglasses,227
823,Eyeglasses,227
824,Investing,356
825,Skincare,608
826,Software,619
827,Oil,462
827,Coal,120
827,Real estate,560
828,Paper,494
829,Infant formula,345
830,Hedge funds,312
831,Commodities,132
832,Hospitals,325
833,Investments,360
834,Drugstores,192
835,Construction,140
835,Pipes,526
835,Banking,49
836,Winter jackets,753
837,Biopharmaceuticals,69
838,Auto parts,37
839,Private equity,549
840,Business software,84
841,Manufacturing,397
842,Fertilizer,239
